Time,Bus Voltage,Shunt Voltage,Load Voltage,Current,Power
2024-07-19 22:56:58,0.96,153.41,1.11,1536.30,1468.00
2024-07-19 22:56:58,0.96,153.41,1.11,1536.30,1468.00
2024-07-19 22:56:58,0.96,153.33,1.11,1535.20,1474.00
2024-07-19 22:56:58,0.96,153.37,1.11,1537.20,1474.00
2024-07-19 22:56:58,0.96,153.58,1.12,1533.70,1472.00
2024-07-19 22:56:58,0.96,153.59,1.11,1535.00,1474.00
2024-07-19 22:56:58,0.96,153.34,1.12,1537.00,1474.00
2024-07-19 22:56:58,0.96,153.32,1.11,1536.20,1482.00
2024-07-19 22:56:58,0.96,153.34,1.11,1534.90,1474.00
2024-07-19 22:56:58,0.96,153.34,1.12,1534.40,1472.00
2024-07-19 22:56:59,0.96,153.59,1.12,1534.50,1474.00
2024-07-19 22:56:59,0.96,153.34,1.11,1534.50,1474.00
2024-07-19 22:56:59,0.96,153.35,1.11,1535.20,1482.00
2024-07-19 22:56:59,0.96,153.33,1.12,1535.90,1474.00
2024-07-19 22:56:59,0.96,153.34,1.11,1536.80,1474.00
2024-07-19 22:56:59,0.96,153.56,1.11,1534.00,1472.00
2024-07-19 22:56:59,0.96,153.34,1.12,1535.90,1474.00
2024-07-19 22:56:59,0.96,153.34,1.11,1537.10,1474.00
2024-07-19 22:56:59,0.96,153.34,1.11,1533.30,1472.00
2024-07-19 22:56:59,0.96,153.35,1.11,1536.60,1474.00
2024-07-19 22:56:59,0.96,153.55,1.11,1534.40,1472.00
2024-07-19 22:56:59,0.96,153.68,1.11,1535.60,1474.00
2024-07-19 22:56:59,0.96,153.34,1.11,1535.10,1474.00
2024-07-19 22:56:59,0.96,153.34,1.11,1535.20,1474.00
2024-07-19 22:56:59,0.92,154.86,1.07,1550.70,1418.00
2024-07-19 22:57:00,0.96,153.33,1.11,1535.10,1474.00
2024-07-19 22:57:00,0.96,153.36,1.11,1536.00,1474.00
2024-07-19 22:57:00,0.96,153.35,1.12,1536.50,1474.00
2024-07-19 22:57:00,0.96,153.35,1.11,1535.20,1474.00
2024-07-19 22:57:00,0.96,153.35,1.11,1534.70,1474.00
2024-07-19 22:57:00,0.96,153.36,1.11,1535.00,1474.00
2024-07-19 22:57:00,0.96,153.36,1.11,1534.80,1482.00
2024-07-19 22:57:01,0.96,153.36,1.11,1533.80,1472.00
2024-07-19 22:57:01,0.96,153.36,1.12,1535.80,1474.00
2024-07-19 22:57:01,0.96,153.36,1.12,1535.60,1468.00
2024-07-19 22:57:01,0.96,153.38,1.11,1536.10,1474.00
2024-07-19 22:57:01,0.92,155.07,1.07,1550.10,1426.00
2024-07-19 22:57:01,0.96,153.57,1.11,1537.10,1474.00
2024-07-19 22:57:01,0.96,153.48,1.11,1534.80,1474.00
2024-07-19 22:57:01,0.96,153.35,1.11,1534.00,1472.00
2024-07-19 22:57:01,0.96,153.39,1.11,1535.70,1474.00
2024-07-19 22:57:01,0.96,153.37,1.11,1535.60,1472.00
2024-07-19 22:57:01,0.96,153.55,1.11,1534.40,1482.00
2024-07-19 22:57:01,0.96,153.35,1.11,1537.30,1474.00
2024-07-19 22:57:02,0.96,153.35,1.11,1535.40,1474.00
2024-07-19 22:57:02,0.96,153.32,1.12,1535.40,1472.00
2024-07-19 22:57:02,0.96,153.47,1.11,1534.70,1474.00
2024-07-19 22:57:02,0.96,153.37,1.11,1533.00,1472.00
2024-07-19 22:57:02,0.96,153.32,1.12,1535.30,1474.00
2024-07-19 22:57:02,0.96,153.34,1.11,1534.50,1474.00
2024-07-19 22:57:02,0.96,153.33,1.11,1536.60,1478.00
2024-07-19 22:57:02,0.96,153.54,1.11,1535.50,1478.00
2024-07-19 22:57:02,0.96,153.61,1.11,1535.60,1474.00
2024-07-19 22:57:02,0.96,153.37,1.11,1536.10,1468.00
2024-07-19 22:57:02,0.96,153.33,1.11,1536.80,1474.00
2024-07-19 22:57:02,0.96,153.35,1.11,1535.00,1474.00
2024-07-19 22:57:02,0.96,153.34,1.12,1536.80,1482.00
2024-07-19 22:57:02,0.96,153.37,1.12,1536.80,1472.00
2024-07-19 22:57:02,0.92,155.06,1.07,1550.40,1422.00
2024-07-19 22:57:03,0.93,154.34,1.09,1542.30,1438.00
2024-07-19 22:57:03,0.96,153.37,1.11,1535.30,1468.00
2024-07-19 22:57:03,0.96,153.38,1.11,1534.40,1464.00
2024-07-19 22:57:03,0.96,153.53,1.11,1535.60,1464.00
2024-07-19 22:57:03,0.96,153.37,1.11,1534.90,1468.00
2024-07-19 22:57:03,0.96,153.34,1.11,1535.70,1474.00
2024-07-19 22:57:03,0.95,153.57,1.11,1536.60,1468.00
2024-07-19 22:57:03,0.96,153.40,1.11,1535.10,1468.00
2024-07-19 22:57:03,0.96,153.64,1.11,1535.20,1468.00
2024-07-19 22:57:03,0.96,153.41,1.11,1536.40,1468.00
2024-07-19 22:57:03,0.96,153.58,1.11,1534.20,1468.00
2024-07-19 22:57:03,0.96,153.36,1.11,1535.70,1468.00
2024-07-19 22:57:03,0.96,153.41,1.11,1537.00,1462.00
2024-07-19 22:57:04,0.96,153.41,1.11,1535.80,1468.00
2024-07-19 22:57:04,0.96,153.38,1.11,1535.00,1468.00
2024-07-19 22:57:04,0.96,153.40,1.11,1536.00,1472.00
2024-07-19 22:57:04,0.96,153.35,1.11,1536.60,1468.00
2024-07-19 22:57:04,0.96,153.35,1.11,1534.90,1474.00
2024-07-19 22:57:04,0.96,153.63,1.11,1534.30,1474.00
2024-07-19 22:57:04,0.96,153.37,1.11,1535.80,1474.00
2024-07-19 22:57:04,0.96,153.36,1.11,1534.90,1468.00
2024-07-19 22:57:04,0.96,153.41,1.11,1534.10,1468.00
2024-07-19 22:57:04,0.96,153.34,1.11,1535.90,1482.00
2024-07-19 22:57:04,0.96,153.38,1.11,1534.60,1464.00
2024-07-19 22:57:04,0.96,153.38,1.11,1535.90,1474.00
2024-07-19 22:57:04,0.96,153.63,1.11,1535.70,1478.00
2024-07-19 22:57:05,0.96,153.37,1.11,1536.10,1468.00
2024-07-19 22:57:05,0.96,153.36,1.11,1534.30,1474.00
